搜索关键词: 运维开发工程师
捕获数量: 150
更新时间: 13:35:39
----------------------------------------------------------------------
[  1] 云原生运维开发工程师                          | 40-60K·15薪   | 某大型互联网公司             | 北京
[ 65] SRE运维开发工程师-AI/国际化方向                 | 30-60K·16薪   | 小红书                  | 北京 朝阳区
[ 66] 运维开发工程师                             | 5-10K        | 诚为                   | 北京 朝阳区
[ 67] 安全运维开发工程师                           | 12-20K·13薪   | 雾帜智能                 | 北京 朝阳区
[ 68] 运维开发工程师（大模型方向）                      | 35-55K·15薪   | 某中型量化对冲基金公司          | 北京
[ 69] 运维开发工程师                             | 16-18K       | 首汽约车                 | 北京 朝阳区
[ 70] 高级运维开发工程师 (百亿私募量化期待你)               | 30-40K·18薪   | 聚宽投资                 | 北京 朝阳区
[ 71] AI模型 运维开发工程师                        | 9-12K        | 北京智远恒创               | 北京
[ 72] sre运维开发工程师                          | 16-30K·14薪   | 搜狐                   | 北京 海淀区
[ 73] AI平台运维开发工程师                         | 20-40K       | 北京开芯红科技              | 北京 海淀区
[ 74] 运维开发工程师                             | 14-24K       | 翌擎科技                 | 北京 海淀区
[ 75] 运维开发工程师                             | 15-20K·13薪   | 北京韦舒可林科技             | 北京 东城区
[ 76] 云计算运维开发工程师                          | 15-25K       | 北京魔方芯联科技             | 北京 通州区
[ 77] 运维开发工程师                             | 18-21K·15薪   | 同创信通                 | 北京 丰台区
[ 78] 运维开发工程师                             | 30-50K       | 微博                   | 北京 海淀区
[ 79] 运维开发工程师                             | 35-60K·15薪   | 西安好中博文化传媒            | 北京
[ 80] k8s运维工程师                            | 50-70K·15薪   | 上海某大型互联网公司           | 北京
[ 81] 运维开发工程师                             | 20-40K·13薪   | 今日水印相机               | 北京 海淀区
[ 82] 运维开发工程师                             | 18-35K       | 天翼云                  | 北京 海淀区
[ 83] kubernetes运维开发工程师                   | 20-40K·14薪   | 京东JD                 | 北京 通州区
[ 84] 运维开发工程师                             | 9-14K        | 北京中维恒泰技术             | 北京 丰台区
[ 85] java转运维开发（长期稳定）                     | 10-13K       | 中软国际                 | 北京 朝阳区
[ 86] 运维开发工程师                             | 6-9K         | 吉护健康                 | 北京 丰台区
[ 87] 运维开发工程师                             | 8-12K        | 聚力联盈                 | 北京
[ 88] devops运维工程师                         | 13-16K       | 新晨科技                 | 北京 朝阳区
[ 89] 运维开发工程师                             | 9-14K        | 嘉为科技                 | 北京 朝阳区
[ 90] Python研发工程师 （智能运维）                  | 11-22K       | 中电汇通                 | 北京 丰台区
[ 91] 运维开发工程师                             | 11-20K·14薪   | 明湖汇                  | 北京 朝阳区
[ 92] 运维开发工程师【百度子公司岗位】                    | 10-15K·16薪   | 百度在线                 | 北京 海淀区
[ 93] 运维开发工程师                             | 30-60K·16薪   | 景佑宝元                 | 北京 海淀区
[ 94] 运维开发工程师                             | 200-400元/天   | 天赋一百                 | 北京 平谷区
[ 95] 大数据运维开发工程师                          | 9-11K        | 亚信科技                 | 北京 海淀区
[ 96] 运维开发工程师                             | 15-20K       | 豆瓣                   | 北京 朝阳区
[ 97] 高级运维开发工程师-北京/杭州（4年以下）               | 15-20K·15薪   | 欧得西                  | 北京 朝阳区
[ 98] 运维开发工程师                             | 18-30K·15薪   | 某中型互联网云计算服务公司        | 北京
[ 99] 运维开发工程师 (MJ002220)                  | 9-13K        | 神州泰岳                 | 北京 东城区
[100] 运维开发工程师 (MJ005805)                  | 19-22K·15薪   | 新浪网                  | 北京 海淀区
[101] 运维开发工程师                             | 20-35K·15薪   | 滴滴                   | 北京 海淀区
[102] 运维开发工程师（北京-昌平区）                     | 8-9K         | 友声科技                 | 北京 昌平区
[103] 运维开发工程师                             | 15-30K       | 华为技术有限公司             | 北京
[104] DevOps运维开发工程师（AWS）                  | 25-50K·15薪   | 深圳灵动                 | 北京 海淀区
[105] 运维工程师                               | 13-20K       | 北京时光屿教育科技            | 北京 朝阳区
[106] 运维开发工程师（大模型方向）                      | 40-70K·15薪   | 某中型基金公司              | 北京
[107] 运维开发工程师（DevOps Engineer）            | 30-50K·15薪   | 新石器慧通                | 北京 海淀区
[108] 诚聘运维开发工程师                           | 15-18K       | 中海创新                 | 北京 朝阳区
[109] 运维开发工程师                             | 25-50K       | 快手                   | 北京 海淀区
[110] 交易系统运维开发工程师                         | 20-40K·15薪   | 正定私募                 | 北京 海淀区
[111] 运维开发工程师                             | 6-8K         | 天富勤                  | 北京 朝阳区
[112] 中间件运维工程师                            | 15-25K       | 博宇创达                 | 北京 东城区
[113] 运维开发工程师                             | 7-10K        | 众和汇智                 | 北京 昌平区
[114] 运维开发工程师                             | 10-13K·13薪   | 德电                   | 北京 朝阳区
[115] 运维开发工程师                             | 15-30K       | 锦彩                   | 北京 海淀区
[116] 资深运维开发工程师                           | 45-70K·15薪   | 某大型O2O公司             | 北京
[117] 大型国企-AI开发岗（运维方向）                    | 30-60K·14薪   | 某500强上市公司            | 北京
[118] linux运维开发工程师                        | 15-25K       | 精微未来                 | 北京 朝阳区
[119] Wordpress运维开发工程师                    | 11-20K       | 北京大林绿源               | 北京
[120] 资深运维开发工程师                           | 40-70K·14薪   | 某大型互联网内容平台公司         | 北京
[121] 运维开发工程师                             | 11-14K·14薪   | 中视广信                 | 北京 朝阳区
[122] 运维开发工程师                             | 10-11K       | 誉川蜀                  | 北京 西城区
[123] 运维开发工程师                             | 8-9K         | 森栩医学                 | 北京 海淀区
[124] 运维开发工程师（大模型方向）                      | 50-80K       | 某大型互联网公司             | 北京
[125] 运维开发工程师 (MJ000123)                  | 11-13K       | Moka                 | 北京 海淀区
[126] 运维开发工程师                             | 6-10K        | 森和致远                 | 北京 朝阳区
[127] 资深运维开发工程师                           | 40-70K·15薪   | 秋鸣网络                 | 北京
[128] 运维开发工程师                             | 15-30K       | 熵增科技                 | 北京 朝阳区
[129] 高级运维开发工程师                           | 11-18K       | 众趣科技                 | 北京 朝阳区
[130] 运维开发工程师                             | 15-30K       | 威视佰科                 | 北京 海淀区
[131] 运维开发工程师                             | 13-16K·13薪   | 中铁（北京）信息...          | 北京
[132] 运维开发工程师                             | 10-11K       | 北京佰豪商贸有限公司           | 北京 丰台区
[133] 高级/资深运维开发工程师                        | 25-35K       | Mobvista汇量科技         | 北京 朝阳区
[134] java运维开发工程师                         | 6-8K         | 中天诺士达                | 北京 西城区
[135] 大装置-集群运维开发工程师（容器方向）                 | 20-40K·15薪   | SenseTime            | 北京 海淀区
[136] 高级系统运维开发工程师                         | 30-50K·15薪   | 今日头条                 | 北京
[137] 高级运维开发工程师                           | 30-60K·16薪   | 京东集团                 | 北京 通州区
[138] 运维开发工程师                             | 25-30K·16薪   | 敦煌网                  | 北京
[139] 系统运维开发工程师                           | 13-16K       | 北京合右科技有限公司           | 北京 海淀区
[140] 运维开发工程师-央企直招-朝九晚五                   | 35-65K·16薪   | 北京某中型运营商/增值服务上市公司    | 北京
[141] 运维开发                                | 40-70K·15薪   | 北京某中型互联网公司           | 北京
[142] 游戏运维工程师（云服务运维开发方向）                  | 12-24K·15薪   | 北京梧桐宇舟科技             | 北京 朝阳区
[143] 财务系统运维开发工程师                         | 9-12K        | 融和科技                 | 北京 西城区
[144] 管理系统运维开发工程师                         | 11-18K       | 自走科技                 | 北京 丰台区
[145] DevOps运维开发工程师                       | 17-21K·16薪   | 涵德投资                 | 北京 海淀区
[146] 运维开发工程师                             | 18-30K·14薪   | 云车易购科技               | 北京 海淀区
[147] 应用系统开发运维工程师（韩语）                     | 14-19K       | 现代信息技术有限公司           | 北京
[148] 运维开发工程师                             | 15-16K       | 算场科技                 | 北京 海淀区
[149] 驻场运维工程师（驻场点：北京）                     | 9-13K        | 九恒星思凯科技              | 北京 昌平区
[150] 运维开发工程师                             | 30-55K       | 某中型互联网金融科技公司         | 北京
